name,link,lyrics,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
Tim McGraw,https://www.youtube.com/watch?v=GkD20ajVxnY,"He said the way my blue eyes shined
Put those Georgia stars to shame that night
I said, ""That's a lie""
Just a boy in a Chevy truck
That had a tendency of gettin' stuck
On backroads at night
And I was right there beside him all summer long
And then the time we woke up to find that summer gone
But when you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me
September saw a month of tears
And thanking God that you weren't here
To see me like that
But in a box beneath my bed
Is a letter that you never read
From three summers back
It's hard not to find it all a little bittersweet
And lookin' back on all of that, it's nice to believe
When you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me
And I'm back for the first time since then
I'm standing on your street
And there's a letter left on your doorstep
And the first thing that you'll read
Is when you think Tim McGraw
I hope you think my favorite song
Someday you'll turn your radio on
I hope it takes you back to that place
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me
Oh, think of me
Mmm
He said the way my blue eyes shined
Put those Georgia stars to shame that night
I said, ""That's a lie""",Taylor Swift,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0,0.121,-6.462,0.0251,0.425,76.009
Picture To Burn,https://www.youtube.com/watch?v=yCMqcFAigRg,"State the obvious, I didn't get my perfect fantasy
I realize you love yourself more than you could ever love me
So go and tell your friends that I'm obsessive and crazy
That's fine, you won't mind if I say
By the way
I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn
There's no time for tears
I'm just sitting here planning my revenge
There's nothing stopping me
From going out with all of your best friends
And if you come around saying sorry to me
My daddy's gonna show you how sorry you'll be
'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn
And if you're missing me, you'd better keep it to yourself
'Cause coming back around here would be bad for your health
'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
In case you haven't heard, I really, really hate that
Stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn
Burn, burn, burn, baby, burn
Just another picture to burn
Baby, burn",Taylor Swift,Taylor Swift,2006-10-24,173066,54,0.658,0.173,0.877,0,0.0962,-2.098,0.0323,0.821,105.586
Teardrops On My Guitar - Radio Single Remix,https://www.youtube.com/watch?v=pXxhh8zbs2A,"Drew looks at me, I fake a smile so he won't see
That I want and I'm needing everything that we should be
I'll bet she's beautiful, that girl he talks about
And she's got everything that I have to live without
Drew talks to me, I laugh 'cause it's just so funny
But I can't even see anyone when he's with me
He says he's so in love, he's finally got it right
I wonder if he knows he's all I think about at night
He's the reason for the teardrops on my guitar
The only thing that keeps me wishing on a wishing star
He's the song in the car I keep singing, don't know why I do
Drew walks by me, can he tell that I can't breathe?
And there he goes, so perfectly
The kind of flawless I wish I could be
She'd better hold him tight, give him all her love
Look in those beautiful eyes and know she's lucky 'cause
He's the reason for the teardrops on my guitar
The only thing that keeps me wishing on a wishing star
He's the song in the car I keep singing, don't know why I do
So I drive home alone, as I turn out the light
I'll put his picture down and maybe get some sleep tonight
'Cause he's the reason for the teardrops on my guitar
The only one who's got enough of me to break my heart
He's the song in the car I keep singing, don't know why I do
He's the time taken up, but there's never enough
And he's all that I need to fall into
Drew looks at me, I fake a smile so he won't see",Taylor Swift,Taylor Swift,2006-10-24,203040,59,0.621,0.288,0.417,0,0.119,-6.941,0.0231,0.289,99.953
A Place in this World,https://www.youtube.com/watch?v=fgZ2q0yyUGA,"I don't know what I want, so don't ask me
'Cause I'm still trying to figure it out
Don't know what's down this road
I'm just walking
Trying to see through the rain coming down
Even though I'm not the only one, who feels
The way I do
I'm alone, on my own
And that's all I know,
I'll be strong, I'll be wrong
Oh, but life goes on
Oh, I'm just a girl
Trying to find a place in this world
Got the radio on, my old blue jeans
And I'm wearing my heart on my sleeve
Feeling lucky today, got the sunshine
Could you tell me what more do I need?
And tomorrow's just a mystery, oh yeah
But that's okay
I'm alone, on my own
And that's all I know,
I'll be strong, I'll be wrong
Oh, but life goes on
Oh, I'm just a girl
Trying to find a place in this world
Maybe I'm just a girl on a mission
But I'm ready to fly
I'm alone, on my own
And that's all I know
Oh, I'll be strong, I'll be wrong
Oh, but life goes on
Oh, I'm alone, on my own
And that's all I know
Oh, I'm just a girl
Trying to find a place in this world
Oh, I'm just a girl
Oh, I'm just a girl, oh, oh
Oh, I'm just a girl",Taylor Swift,Taylor Swift,2006-10-24,199200,49,0.576,0.051,0.777,0,0.32,-2.881,0.0324,0.428,115.028
Cold As You,https://www.youtube.com/watch?v=ckjjD_MgnWE,"You have a way of coming easily to me
And when you take, you take the very best of me
So I start a fight 'cause I need to feel somethin'
And you do what you want 'cause I'm not what you wanted
Oh, what a shame
What a rainy ending given to a perfect day
Just walk away
Ain't no use defending words that you will never say
And now that I'm sittin' here thinkin' it through
I've never been anywhere cold as you
You put up the walls and paint them all a shade of gray
And I stood there loving you, and wished them all away
And you come away with a great little story
Of a mess of a dreamer with the nerve to adore you
Oh, what a shame
What a rainy ending given to a perfect day
Just walk away
Ain't no use defending words that you will never say
And now that I'm sittin' here thinkin' it through
I've never been anywhere cold as you
You never did give a damn thing, honey
But I cried, cried for you
And I know you wouldn't have told nobody if I died, died for you
Died for you
Oh, what a shame
What a rainy ending given to a perfect day
Oh, every smile you fake is so condescending
Countin' all the scars you've made
Now that I'm sittin' here thinkin' it through
I've never been anywhere cold as you",Taylor Swift,Taylor Swift,2006-10-24,239013,50,0.418,0.217,0.482,0,0.123,-5.769,0.0266,0.261,175.558
The Outside,https://www.youtube.com/watch?v=IAeicVet6SU,"I didn't know what I would find
When I went lookin' for a reason
I know I didn't read between the lines
And baby I've got nowhere to go
I tried to take the road less traveled by
But nothing seems to work the first few times, am I right?
So, how can I ever try to be better?
Nobody ever let's me in
And I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside
You saw me there but never knew
That I would give it all up to be
A part of this, a part of you
And now it's all too late so you see
You could have helped if you had wanted to
But no one notices until it's too late to do anything
How can I ever try to be better?
Nobody ever let's me in
And I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside
Oh yeah
How can I ever try to be better?
Nobody ever let's me in
And I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside
Oh, oh, oh-oh
Oh, oh-oh",Taylor Swift,Taylor Swift,2006-10-24,207106,47,0.589,0.00491,0.805,0,0.24,-4.055,0.0293,0.591,112.982
Tied Together with a Smile,https://www.youtube.com/watch?v=q1U1V9AZBBA,"Seems the only one who doesn't see your beauty
Is the face in the mirror looking back at you
You walk around here thinking you're not pretty
But that's not true 'cause I know you
Hold on, baby; you're losing it
The water's high, you're jumping into it
And letting go, and no one knows
That you cry; but you don't tell anyone
That you might not be the golden one
And you're tied together with a smile
But you're coming undone
I guess it's true that love was all you wanted
'Cause you're givin' it away like it's extra change
Hoping it will end up in his pocket
But he leaves you out like a penny in the rain
Oh, 'cause it's not his price to pay
It's not his price to pay
Hold on, baby; you're losing it
The water's high, you're jumping into it
And letting go, and no one knows
That you cry; but you don't tell anyone
That you might not be the golden one
And you're tied together with a smile
But you're coming undone
Hold on, baby; you're losing it
The water's high, you're jumping into it
And letting go, and no one knows
That you cry; but you don't tell anyone
That you might not be the golden one
And you're tied together with a smile
But you're coming undone
You're tied together with a smile
But you're coming undone, oh
Goodbye, baby
With a smile, baby, baby",Taylor Swift,Taylor Swift,2006-10-24,248106,47,0.479,0.525,0.578,0,0.0841,-4.963,0.0294,0.192,146.165
Stay Beautiful,https://www.youtube.com/watch?v=TQ9haUkCV-M,"Cory's eyes are like a jungle
He smiles; it's like the radio
He whispers songs into my window
In words that nobody knows
There's pretty girls on every corner
They watch him as he's walking home
Saying, does he know
Will you ever know?
You're beautiful
Every little piece, love; don't you know?
You're really gonna be someone
Ask anyone
And when you find everything you've looked for
I hope your love leads you back to my door
Oh, but if it don't, stay beautiful
Cory finds another way to be
The highlight of my day
I'm taking pictures in my mind
So I can save them for a rainy day
It's hard to make a conversation
When he's taking my breath away
I should say ""hey, by the way
You're beautiful
Every little piece, love; don't you know?
You're really gonna be someone
Ask anyone
And when you find everything you've looked for
I hope your love leads you back to my door
Oh, but if it don't, stay beautiful
If you and I are a story
That never gets told
If what you are is a daydream
I'll never get to hold, at least you'll know
You're beautiful
Every little piece, love; don't you know?
You're really gonna be someone
Ask anyone
And when you find everything you've looked for
I hope your love leads you back to my front door
Oh, but if it don't
Will you stay beautiful, beautiful, beautiful
Beautiful, beautiful, beautiful?
Oh, oh, oh
Oh, oh, oh
Oh, but if it don't
Stay beautiful
Stay beautiful
Na, na, na, na, na",Taylor Swift,Taylor Swift,2006-10-24,236053,48,0.594,0.0868,0.629,0,0.137,-4.919,0.0246,0.504,131.597
Should've Said No,https://www.youtube.com/watch?v=v9bxXO9fj98,"It's strange to think the songs we used to sing
The smiles, the flowers, everything is gone
Yesterday I found out about you
Even now just looking at you
Feels wrong
You say that you'd take it all back
Given one chance, it was a moment of weakness
And you said, ""Yes""
You should've said, ""No""
You should've gone home
You should've thought twice 'fore you let it all go
You should've known that word 'bout what you did with her
Get back to me (get back to me)
And I should've been there
In the back of your mind
I shouldn't be asking myself, ""Why?""
You shouldn't be beggin' for forgiveness at my feet
You should've said, ""No""
Baby, and you might still have me
You can see that I've been cryin'
Baby, you know all the right things
To say
But do you honestly expect me to believe
We could ever be the same?
You say that the past is the past
You need one chance, it was a moment of weakness
And you said, ""Yes""
You should've said, ""No""
You should've gone home
You should've thought twice 'fore you let it all go
You should've known that word 'bout what you did with her
Get back to me (get back to me)
And I should've been there
In the back of your mind
I shouldn't be asking myself, ""Why?""
You shouldn't be beggin' for forgiveness at my feet
You should've said, ""No""
Baby, and you might still have me, oh-whoa
I can't resist
Before you go, tell me this
Was it worth it?
Was she worth this?
No, no, no, no, no, no
You should've said, ""No""
You should've gone home
You should've thought twice 'fore you let it all go
You should've known that word 'bout what you did with her
Get back to me (get back to me)
And I should've been there
In the back of your mind
I shouldn't be asking myself, ""Why?""
You shouldn't be beggin' for forgiveness at my feet
You should've said, ""No""
Baby, and you might still have me",Taylor Swift,Taylor Swift,2006-10-24,242200,53,0.476,0.0103,0.777,0,0.196,-3.771,0.0289,0.472,167.964
Mary's Song (Oh My My My),https://www.youtube.com/watch?v=NlQbK-Vu37I,"She said, ""I was seven and you were nine""
I looked at you like the stars that shine
In the sky, the pretty lights
And our daddies used to joke about the two of us
Growing up and falling in love
And our mamas smiled and rolled their eyes
And said, ""Oh my, my, my""
Take me back to the house in the backyard tree
Said you'd beat me up, you were bigger than me
You never did, you never did
Take me back when our world was one block wide
I dared you to kiss me and ran when you tried
Just two kids, you and I
Oh my, my, my, my
I was sixteen when suddenly
I wasn't that little girl you used to see
But your eyes still shined like pretty lights
And our daddies used to joke about the two of us
They never believed we'd really fall in love
And our mamas smiled and rolled their eyes
And said, ""Oh my, my, my""
Take me back to the creek beds we turned up
2 a.m. riding in your truck and all I need is you next to me
Take me back to the time we had our very first fight
The slamming of doors instead of kissing goodnight
You stayed outside till the morning light
Oh my, my, my, my
A few years had gone and come around
We were sitting at our favorite spot in town
And you looked at me, got down on one knee
Take me back to the time when we walked down the aisle
Our whole town came and our mamas cried
You said, ""I do"", and I did too
Take me home where we met so many years before
We'll rock our babies on that very front porch
After all this time, you and I
And I'll be eighty-seven; you'll be eighty-nine
I'll still look at you like the stars that shine
In the sky, oh my, my, my",Taylor Swift,Taylor Swift,2006-10-24,213080,50,0.403,0.0177,0.627,0,0.182,-5.28,0.0292,0.374,74.9
